member_number,member_name,payment_date,amount,payment_type,period,notes
1,,8/10/2014,1000,,,Blank payment_type â€” classifier will suggest contribution (matches monthly amount)
1,,20/12/2014,1000,,,type = contribution / period = 2025-11
1,,20/01/2015,1000,,,type = loan_repayment / period = 2025-11
1,,22/02/2015,6000,,,type = ignore / period = 2025-11
1,,21/03/2015,5000,,,
1,,24/04/2015,3000,,,
1,,23/05/2015,3000,,,
1,,19/06/2015,5000,,,
1,,10/7/2015,5000,,,
1,,14/08/2015,5000,,,
1,,12/9/2015,5000,,,
1,,17/10/2015,5000,,,
2,,8/10/2014,1000,,,
2,,20/12/2014,1000,,,
2,,20/01/2015,1000,,,
2,,22/02/2015,6000,,,
2,,21/03/2015,5000,,,
2,,24/04/2015,3000,,,
2,,23/05/2015,3000,,,
2,,19/06/2015,5000,,,
2,,10/7/2015,5000,,,
2,,14/08/2015,10000,,,
2,,12/9/2015,5000,,,
2,,17/10/2015,5000,,,
3,,25/10/2014,2000,,,
3,,15/11/2014,1000,,,
3,,15/01/2015,2000,,,
3,,15/02/2015,3000,,,
3,,25/03/2015,5000,,,
3,,24/04/2015,3000,,,
3,,23/05/2015,5000,,,
3,,22/06/2015,6000,,,
3,,10/7/2015,5000,,,
3,,14/08/2015,4000,,,
3,,12/9/2015,5000,,,
3,,17/10/2015,5000,,,
4,,8/10/2014,1000,,,
4,,20/12/2014,1000,,,
4,,20/01/2015,1000,,,
4,,22/02/2015,3000,,,
4,,21/03/2015,1000,,,
4,,24/04/2015,1000,,,
4,,23/05/2015,1000,,,
4,,19/06/2015,1000,,,
4,,10/7/2015,1000,,,
4,,14/08/2015,2000,,,
4,,12/9/2015,1000,,,
4,,17/10/2015,1000,,,
5,,8/10/2014,1000,,,
5,,20/12/2014,1000,,,
5,,25/01/2015,4000,,,
5,,24/02/2015,10500,,,
5,,25/03/2015,4500,,,
5,,24/04/2015,4000,,,
5,,23/05/2015,4000,,,
5,,19/06/2015,4000,,,
5,,10/7/2015,3000,,,
5,,14/08/2015,4000,,,
5,,12/9/2015,4000,,,
5,,17/10/2015,4000,,,
6,,8/10/2014,1000,,,
6,,20/12/2014,1000,,,
6,,20/01/2015,1000,,,
6,,22/02/2015,3000,,,
6,,21/03/2015,1000,,,
6,,24/04/2015,1000,,,
6,,23/05/2015,1000,,,
6,,22/06/2015,6000,,,
6,,10/7/2015,1000,,,
6,,14/08/2015,2000,,,
6,,12/9/2015,1000,,,
6,,17/10/2015,1000,,,
7,,8/10/2014,1000,,,
7,,20/12/2014,500,,,
7,,20/01/2015,500,,,
7,,22/02/2015,1000,,,
7,,21/03/2015,500,,,
7,,24/04/2015,500,,,
7,,23/05/2015,500,,,
7,,19/06/2015,500,,,
7,,10/7/2015,500,,,
7,,14/08/2015,1500,,,
7,,12/9/2015,500,,,
7,,17/10/2015,500,,,
8,,8/10/2014,1000,,,
8,,20/12/2014,500,,,
8,,20/01/2015,500,,,
8,,22/02/2015,1000,,,
8,,21/03/2015,500,,,
8,,24/04/2015,500,,,
8,,23/05/2015,500,,,
8,,19/06/2015,500,,,
8,,10/7/2015,500,,,
8,,14/08/2015,1500,,,
8,,12/9/2015,500,,,
8,,17/10/2015,500,,,
9,,8/10/2014,1000,,,
9,,27/12/2014,1000,,,
9,,19/01/2015,1000,,,
9,,13/02/2015,1000,,,
9,,25/03/2015,1000,,,
9,,20/04/2015,1000,,,
9,,21/05/2015,1000,,,
9,,21/06/2015,1000,,,
9,,21/07/2015,1000,,,
9,,19/08/2015,1000,,,
9,,18/09/2015,1000,,,
9,,14/10/2015,1000,,,
10,,8/10/2014,1500,,,
10,,15/12/2014,1000,,,
10,,21/01/2015,1000,,,
10,,22/02/2015,1000,,,
10,,25/03/2015,1000,,,
10,,24/04/2015,1000,,,
10,,20/05/2015,1000,,,
10,,16/06/2015,3000,,,
10,,21/07/2015,500,,,
10,,19/08/2015,500,,,
10,,18/09/2015,500,,,
10,,14/10/2015,500,,,
11,,9/11/2014,2000,,,
11,,15/12/2014,1000,,,
11,,18/01/2015,1000,,,
11,,23/02/2015,1000,,,
11,,23/03/2015,1000,,,
11,,7/4/2015,1000,,,
11,,20/05/2015,1000,,,
11,,16/06/2015,5000,,,
12,,8/10/2014,1000,,,
12,,24/12/2014,500,,,
12,,19/01/2015,500,,,
12,,13/02/2015,500,,,
12,,23/03/2015,500,,,
12,,20/04/2015,500,,,
12,,21/05/2015,500,,,
12,,21/06/2015,500,,,
12,,21/07/2015,500,,,
12,,19/08/2015,500,,,
12,,18/09/2015,500,,,
12,,14/10/2015,500,,,
13,,9/11/2014,1000,,,
13,,15/12/2014,500,,,
13,,18/01/2015,500,,,
13,,23/02/2015,500,,,
13,,23/03/2015,500,,,
13,,7/4/2015,500,,,
13,,20/05/2015,500,,,
13,,16/06/2015,2500,,,
14,,9/11/2014,1000,,,
14,,15/12/2014,500,,,
14,,18/01/2015,500,,,
14,,23/02/2015,500,,,
14,,23/03/2015,500,,,
14,,7/4/2015,500,,,
14,,20/05/2015,500,,,
14,,16/06/2015,2500,,,
15,,9/11/2014,1000,,,
15,,15/12/2014,500,,,
15,,18/01/2015,500,,,
15,,23/02/2015,500,,,
15,,23/03/2015,500,,,
15,,7/4/2015,500,,,
15,,20/05/2015,500,,,
15,,16/06/2015,2500,,,
15,,29/07/2015,1000,,,
16,,28/10/2014,1000,,,
16,,3/12/2014,1000,,,
16,,4/1/2015,1000,,,
16,,9/2/2015,1000,,,
16,,24/03/2015,2500,,,
16,,24/04/2015,1000,,,
16,,7/6/2015,1000,,,
16,,21/07/2015,1000,,,
16,,11/8/2015,1000,,,
16,,17/09/2015,1000,,,
16,,11/10/2015,1000,,,
17,,28/10/2014,1000,,,
17,,3/12/2014,1000,,,
17,,4/1/2015,1000,,,
17,,9/2/2015,1000,,,
17,,24/03/2015,4000,,,
17,,24/04/2015,1000,,,
17,,7/6/2015,1000,,,
17,,21/07/2015,1000,,,
17,,11/8/2015,1000,,,
17,,17/09/2015,1000,,,
17,,11/10/2015,1000,,,
18,,28/10/2014,500,,,
18,,24/12/2014,500,,,
18,,22/01/2015,500,,,
18,,22/02/2015,500,,,
18,,23/03/2015,500,,,
18,,15/04/2015,500,,,
18,,21/05/2015,500,,,
18,,21/06/2015,500,,,
18,,19/07/2015,500,,,
18,,19/08/2015,500,,,
18,,15/09/2015,500,,,
18,,14/10/2015,500,,,
19,,28/10/2014,500,,,
19,,23/12/2014,500,,,
19,,4/1/2015,500,,,
19,,9/2/2015,500,,,
19,,24/03/2015,500,,,
19,,26/03/2015,3500,,,
20,,28/10/2014,500,,,
20,,3/12/2014,500,,,
20,,4/1/2015,500,,,
20,,9/2/2015,500,,,
20,,24/03/2015,1000,,,
20,,24/04/2015,500,,,
20,,7/6/2015,500,,,
20,,21/07/2015,500,,,
20,,11/8/2015,500,,,
20,,17/09/2015,500,,,
20,,11/10/2015,500,,,
21,,28/10/2014,500,,,
21,,3/12/2014,500,,,
21,,4/1/2015,500,,,
21,,9/2/2015,500,,,
21,,24/03/2015,1000,,,
21,,24/04/2015,500,,,
21,,7/6/2015,500,,,
21,,21/07/2015,500,,,
21,,11/8/2015,500,,,
21,,17/09/2015,500,,,
21,,11/10/2015,500,,,
22,,28/10/2014,500,,,
22,,3/12/2014,500,,,
22,,4/1/2015,500,,,
22,,9/2/2015,500,,,
22,,24/03/2015,1000,,,
22,,24/04/2015,500,,,
22,,7/6/2015,500,,,
22,,21/07/2015,500,,,
22,,11/8/2015,500,,,
22,,17/09/2015,500,,,
22,,11/10/2015,500,,,
29,,13/11/2014,500,,,
29,,24/12/2014,500,,,
29,,19/01/2015,500,,,
29,,13/02/2015,500,,,
29,,25/03/2015,500,,,
29,,20/04/2015,500,,,
29,,21/05/2015,500,,,
29,,21/06/2015,500,,,
29,,21/07/2015,500,,,
29,,19/08/2015,500,,,
29,,18/09/2015,500,,,
29,,14/10/2015,500,,,
30,,13/11/2014,500,,,
30,,24/12/2014,500,,,
30,,19/01/2015,500,,,
30,,13/02/2015,500,,,
30,,25/03/2015,500,,,
30,,20/04/2015,500,,,
30,,21/05/2015,500,,,
30,,21/06/2015,500,,,
30,,21/07/2015,500,,,
30,,19/08/2015,500,,,
30,,18/09/2015,500,,,
30,,14/10/2015,500,,,
31,,13/11/2014,500,,,
31,,24/12/2014,500,,,
31,,19/01/2015,500,,,
31,,13/02/2015,500,,,
31,,25/03/2015,500,,,
31,,20/04/2015,500,,,
31,,21/05/2015,500,,,
31,,21/06/2015,500,,,
31,,21/07/2015,500,,,
31,,19/08/2015,500,,,
