كشف الحساب,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Sample match for From operations,,,,,,اسم العميل,,,,,,,
,,21-01-2017,,,,,,التاريخ,,,,,,,
,,Master Bank - SAMPLE,,,,,,رقم الحساب,,,,,,,
,,"SAR 100,000.00",,,,,,الرصيد,,,,,,,
,,,,,,,,,,,,,,,,
,,معايير البحث,,,,,,,,,,,,,
,,جميع العمليات,,,,,,تصنيف العملية,,,,,,,
,,عرض جميع العمليات,,,,,,نوع العملية,,,,,,,
,,21-01-2017,من,21-03-2015,,,إلى,التاريخ,,,,,,,
,,,من,,,,إلى,القيمة,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
الرصيد,,مدين,دائن,,,التاريخ الهجري,,,التاريخ الميلادي,تصنيف العملية,,ملاحظات,,البيان,
"SAR 69,000.00",,"SAR 31,000.00",,,,01-04-1438,,,21-01-2017,متفرقات,,صرف نقدي عضوية,,تحويل إلى عضو - شهد,
"SAR 100,000.00",,"SAR 15,000.00",,,,19-09-1437,,,24-06-2016,متفرقات,,صرف نقدي عضوية,,تحويل إلى عضو - صالح,
"SAR 115,000.00",,"SAR 2,500.00",,,,01-06-1436,,,21-03-2015,متفرقات,,صرف نقدي عضوية,,تحويل إلى عضو - آية,
"SAR 124,980.00",,,"SAR 9,980.00",,,26-01-1448,,,21-07-2026,,,إيداع عضوية,,حوالات فورية واردة - إيداع عضو,
